x,,
1,Multiple sclerosis,disease
2,Crohn's disease,disease
3,Height,trait
4,Barrett's esophagus,disease
5,Breast cancer,disease
6,Corneal curvature,trait
7,Primary biliary cholangitis,disease
8,Hematological and biochemical traits,trait
9,Mean corpuscular hemoglobin,trait
10,Mean corpuscular volume,
11,White blood cell count,
12,Urate levels,
13,Triglycerides,
14,Platelet count,
15,Mean corpuscular hemoglobin concentration,
16,Red blood cell count,
17,Disc degeneration (lumbar),disease
18,Type 1 diabetes nephropathy,disease
19,Behcet's disease,disease
20,Androgen levels,
21,Monocyte chemoattractant protein-1 levels,trait
22,Alzheimer's disease (late onset),disease
23,C-reactive protein,
24,Comprehensive strength and appendicular lean mass,trait
25,Neuroblastoma,disease
26,Complement C3 and C4 levels,
27,Smoking behavior,trait
28,Telomere length,trait
29,Type 2 diabetes,disease
30,Asthma,disease
31,Stroke (pediatric),disease
32,Atopic dermatitis,disease
33,Periodontal microbiota,disease
34,Myasthenia gravis,disease
35,Serum albumin level,
36,Amyotrophic lateral sclerosis,disease
37,Amyotrophic lateral sclerosis (age of onset),disease
38,Acute lymphoblastic leukemia (childhood),disease
39,Protein biomarker,
40,HbA2 levels,
41,Obesity-related traits,trait
42,Vascular dementia,disease
43,Depression (quantitative trait),disease
44,Metabolite levels,
45,Circulating vasoactive peptide levels,
46,Monocyte count,
47,Tumor biomarkers,
48,Schizophrenia (cytomegalovirus infection interaction),
49,Response to cholinesterase inhibitors in Alzheimer's disease,
50,Tetralogy of Fallot,
51,Epstein-Barr virus immune response (EBNA-1),
52,Refractive error,
53,Lymphoma,
54,Sickle cell anemia (haemolysis),
55,Alzheimer's disease biomarkers,
56,Bone mineral density,
57,Renal transplant outcome,
58,Alcohol dependence,
59,"Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)",
60,Myopia (pathological),
61,IgG glycosylation,
62,Schizophrenia,
63,Melanoma,
64,Addiction,
65,Intelligence (childhood),
66,Red blood cell traits,
67,Age-related macular degeneration,
68,Electrocardiographic conduction measures,
69,Dietary macronutrient intake,
70,Coronary heart disease,
71,Drinking behavior,
72,QT interval (drug interaction),
73,Endometriosis,
74,Corneal astigmatism,
75,Response to irinotecan and platinum-based chemotherapy in non-small-cell lung cancer,
76,Pulmonary arterial hypertension (without BMPR2 mutations),
77,Aspirin hydrolysis (plasma),
78,Asthma (bronchodilator response),
79,Major depressive disorder,
80,Pubertal anthropometrics,
81,Retinopathy in non-diabetics,
82,Pulmonary function in asthmatics,
83,Orofacial clefts (maternal alcohol consumption interaction),
84,Glomerular filtration rate,
85,Thiazide-induced adverse metabolic effects in hypertensive patients,
86,Pediatric non-alcoholic fatty liver disease activity score,
87,QRS duration,
88,Thyroid hormone levels,
89,Non-melanoma skin cancer,
90,Ulcerative colitis,
91,Ovarian cancer,
92,Beta-2 microglubulin plasma levels,
93,Prostate cancer,
94,PCA3 expression level,
95,Obesity (early onset extreme),
96,Anthropometric traits in newborns,
97,Rhegmatogenous retinal detachment,
98,Glycemic traits,
99,Body mass index,
100,Self-employment,
101,Interstitial lung disease,
102,Menarche (age at onset),
103,Diabetic retinopathy,
104,Bilirubin levels,
105,Graves' disease,
106,Job-related exhaustion,
107,Weight loss (gastric bypass surgery),
108,Esophageal squamous cell cancer (length of survival),
109,Venous thromboembolism,
110,Helicobacter pylori serologic status,
111,Crohn's disease (need for surgery),
112,Testicular germ cell tumor,
113,Oleic acid (18:1n-9) levels,
114,Blood pressure measurement (high sodium and potassium intervention),
115,Blood pressure measurement (low sodium intervention),
116,Blood pressure measurement (high sodium intervention),
117,Rheumatoid arthritis,
118,Fibrinogen,
119,Amyotrophic lateral sclerosis (sporadic),
120,Osteoarthritis (hip),
121,Celiac disease,
122,Acute urticaria and angioedema (non-steroidal anti-inflammatory drug-induced),
123,Coronary artery disease or ischemic stroke,
124,Coronary artery disease or large artery stroke,
125,Lipid traits,
126,Bronchodilator response in asthma (inhaled corticosteroid treatment interaction),
127,Adverse response to chemotherapy in breast cancer (alopecia) (cyclophosphamide+epirubicin+/-5FU),
128,Adverse response to chemotherapy in breast cancer (alopecia) (cyclophosphamide+doxorubicin+/-5FU),
129,Adverse response to chemotherapy in breast cancer (alopecia) (paclitaxel),
130,Adverse response to chemotherapy in breast cancer (alopecia) (docetaxel),
131,Adverse response to chemotherapy in breast cancer (alopecia) (anti-microtubule),
132,Calcium levels,
133,Liver enzyme levels (alanine transaminase),
134,Liver enzyme levels (aspartate transaminase),
135,Hepatitis B vaccine response,
136,Serum protein levels (sST2),
137,Chronic lymphocytic leukemia,
138,IgE levels,
139,Relative hand skill in reading disability,
140,Glycated hemoglobin levels,
141,Hormone measurements,
142,Follicule stimulating hormone,
143,"Breast cancer (estrogen-receptor negative, progesterone-receptor negative, and human epidermal growth factor-receptor negative)",
144,Serum uric acid levels,
145,Tuberculosis,
146,Digestive system disease (Barrett's esophagus and esophageal adenocarcinoma combined),
147,Tooth agenesis (mandibular third molar),
148,Bladder cancer,
149,Anxiety in major depressive disorder,
150,Adiponectin levels,
151,Systolic blood pressure (alcohol consumption interaction),
152,Diastolic blood pressure (alcohol consumption interaction),
153,Mean arterial pressure (alcohol consumption interaction),
154,Pulse pressure (alcohol consumption interaction),
155,Serum dimethylarginine levels (asymmetric/symetric ratio),
156,Symmetrical dimethylarginine levels,
157,Asymmetrical dimethylarginine levels,
158,Acne (severe),
159,Basal cell carcinoma,
160,Bone properties (heel),
161,Hodgkin's lymphoma,
162,HDL cholesterol,
163,LDL cholesterol,
164,"Cholesterol, total",
165,Narcolepsy (age of onset),
166,Colorectal cancer,
167,Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid),
168,Sjögren's syndrome,
169,Glucocorticoid-induced osteonecrosis (time dependent analysis),
170,Cognitive decline rate in late mild cognitive impairment,
171,Cerebral amyloid deposition (PET imaging),
172,Cerebral amyloid deposition in APOEe4 non-carriers (PET imaging),
173,Autism spectrum disorder,
174,Antipsychotic drug-induced weight gain,
175,Mean arterial pressure,
176,Myocardial infarction,
177,Pulse pressure,
178,Coronary artery aneurysm in Kawasaki disease,
179,Systolic blood pressure,
180,Myositis,
181,Severity of facial solar lentigines,
182,Diastolic blood pressure,
183,White matter hyperintensities in ischemic stroke,
184,Subjective response to lithium treatment,
185,Subjective response to lithium treatment in bipolar disorder,
186,Objective response to lithium treatment,
187,Objective response to lithium treatment in bipolar disorder,
188,Peripheral artery disease,
189,"Response to radiotherapy in prostate cancer (toxicity, urinary frequency)",
190,"Response to radiotherapy in prostate cancer (toxicity, decreased urine stream)",
191,Lung disease severity in cystic fibrosis,
192,White matter lesion progression (adjusted for white matter lesion burden at baseline),
193,Cirrhosis (alcohol related),
194,"Response to radiotherapy in prostate cancer (toxicity, rectal bleeding)",
195,Skin and soft tissue Staphylococcus aureus infection,
196,EGFR mutation-positive lung adenocarcinoma,
197,Event free survival in diffuse large B-cell lymphoma treated with immunochemotherapy,
198,Systemic lupus erythematosus,
199,Barrett's esophagus  or Esophageal adenocarcinoma,
200,Esophageal adenocarcinoma,
201,Depressive symptoms (stressful life events interaction),
202,Visceral adipose tissue,
203,Visceral adipose tissue adjusted for BMI,
204,Visceral adipose tissue/subcutaneous adipose tissue ratio,
205,Cardiovascular disease in hypertension (calcium channel blocker interaction),
206,Subcutaneous adipose tissue,
207,Myocardial infarction in hypertension (calcium channel blocker interaction),
208,Interleukin-10 levels,
209,Sense of smell,
210,Childhood body mass index,
211,Atopic march,
212,Response to exercise (triglyceride level interaction),
213,diarrhoeal disease at age 1,
214,diarrhoeal disease at age 1 with doctor diagnosis,
215,diarrhoeal disease at age 2,
216,diarrhoeal disease at age 2 with doctor diagnosis,
217,Thiopurine-induced leukopenia in inflammatory bowel disease,
218,Non-cardia gastric cancer,
219,Response to Pazopanib in cancer (hepatotoxicity),
220,Adenocarcinoma,
221,Inflammatory bowel disease,
222,Nicotine dependence,
223,Length of menstrual cycle,
224,Pelvic organ prolapse,
225,Pelvic organ prolapse (moderate/severe),
226,IgA nephropathy,
227,Response to abacavir-containing treatment in HIV-1 infection (virologic failure),
228,Response to efavirenz-containing treatment in HIV 1 infection (virologic failure),
229,Red wine liking,
230,White wine liking,
231,Antibody level in response to infection,
232,Nonsyndromic cleft lip with or without cleft palate,
233,HIV-1 susceptibility,
234,Adolescent idiopathic scoliosis,
235,Chronic hepatitis B infection,
236,Change in intraocular pressure in response to steroid treatment (triamcinolone acetonide),
237,Peanut allergy,
238,Response to Dalcetrapib treatment in acute coronary syndrome,
239,Hippocampal volume,
240,Thyroid cancer,
241,Optic disc area,
242,Optic cup area,
243,Disease-free survival in breast cancer,
244,Renal cell carcinoma,
245,Developmental dysplasia of the hip,
246,Sasang constitutional medicine type (So-Eum),
247,Carotid artery intima media thickness (sex interaction),
248,Gene methylation in lung tissue,
249,Facial pigmentation,
250,ADAMTS13 activity,
251,Alzheimer's disease (APOE e4 interaction),
252,Magnesium levels,
253,Narcolepsy with cataplexy,
254,Creutzfeldt-Jakob disease (sporadic),
255,Classic bladder exstrophy,
256,Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia,
257,Gout,
258,Recalcitrant atopic dermatitis,
259,Cytokine-stimulated IL-6 production,
260,Psoriasis,
261,Perceived skin darkness,
262,Survival in endocrine treated breast cancer (estrogen-receptor positive),
263,Asparaginase hypersensitivity in acute lymphoblastic leukemia,
264,Lachrymal/Salivary gland lesion in type 1 autoimmune pancreatitis,
265,Multiple myeloma,
266,Multiple myeloma and monoclonal gammopathy,
267,Prostate cancer aggressiveness,
268,Type 1 diabetes and autoimmune thyroid diseases,
269,Obesity in adult survivors of childhood cancer exposed to cranial radiation,
270,Sporadic pituitary adenoma,
271,Urate levels in lean individuals,
272,Urate levels (BMI interaction),
